subject_id,has_dti,has_rest,n_task_types,has_motor,has_wm,has_gambling,has_language,has_social,has_relational,has_emotion,has_movie,has_retbar,has_retccw,has_retcw,has_retcon,has_retexp
132118,True,True,9,True,True,True,False,False,False,False,True,True,True,True,True,True
133019,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
133625,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
133827,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
133928,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
134021,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
134223,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
134324,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
134425,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
134627,True,True,11,True,True,True,True,True,False,False,True,True,True,True,True,True
134728,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
134829,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
135124,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
135225,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
135528,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
135629,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
135730,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
135932,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
136126,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
136227,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
136631,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
136732,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
136833,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
137027,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
137128,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
137229,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
137431,True,True,6,True,True,True,True,True,False,True,False,False,False,False,False,False
137532,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
137633,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
137936,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
138130,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
138231,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
138332,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
138534,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
138837,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
139233,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
139435,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
139637,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
139839,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
140117,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
140319,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
140420,True,True,5,False,True,False,True,True,True,True,False,False,False,False,False,False
140824,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
140925,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
141119,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
141422,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
141826,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
142424,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
142828,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
143224,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
143325,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
